"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2024";"0000";"23,0";"23,3";"22,9";"88,0";"88,0";"83,0";"20,9";"20,9";"20,3";"1012,4";"1012,4";"1012,2";"4,5";"84,0";"6,9";"";"0,0"
"01/01/2024";"0100";"23,8";"23,9";"22,7";"77,0";"90,0";"77,0";"19,5";"21,0";"19,5";"1012,8";"1012,8";"1012,4";"2,1";"63,0";"6,4";"";"0,0"
"01/01/2024";"0200";"23,8";"24,0";"23,4";"68,0";"77,0";"67,0";"17,6";"19,5";"17,4";"1012,6";"1012,8";"1012,6";"1,9";"52,0";"5,5";"";"0,0"
"01/01/2024";"0300";"24,0";"24,1";"23,8";"63,0";"68,0";"63,0";"16,5";"17,4";"16,5";"1012,3";"1012,6";"1012,2";"1,0";"50,0";"3,7";"";"0,0"
"01/01/2024";"0400";"23,9";"24,2";"23,9";"64,0";"64,0";"62,0";"16,7";"16,8";"16,4";"1011,8";"1012,3";"1011,8";"1,0";"21,0";"2,5";"";"0,0"
"01/01/2024";"0500";"22,3";"24,1";"22,2";"75,0";"76,0";"63,0";"17,6";"17,9";"16,5";"1011,3";"1011,8";"1011,1";"1,3";"97,0";"2,2";"";"0,0"
"01/01/2024";"0600";"22,5";"23,2";"22,3";"78,0";"78,0";"69,0";"18,5";"18,5";"17,2";"1010,7";"1011,3";"1010,7";"1,8";"67,0";"3,0";"";"0,0"
"01/01/2024";"0700";"22,6";"23,0";"22,3";"77,0";"81,0";"70,0";"18,3";"19,0";"17,2";"1010,4";"1010,7";"1010,4";"1,3";"40,0";"2,6";"";"0,0"
"01/01/2024";"0800";"22,3";"22,7";"22,2";"86,0";"88,0";"76,0";"19,7";"20,3";"18,2";"1010,9";"1010,9";"1010,4";"0,7";"29,0";"2,4";"";"0,0"
"01/01/2024";"0900";"22,8";"23,0";"22,2";"82,0";"88,0";"80,0";"19,6";"20,2";"19,0";"1011,2";"1011,4";"1010,9";"1,2";"55,0";"2,6";"88,30";"0,0"
"01/01/2024";"1000";"22,9";"23,1";"22,7";"86,0";"86,0";"81,0";"20,5";"20,5";"19,4";"1011,7";"1011,7";"1011,2";"1,7";"86,0";"2,8";"361,20";"0,0"
"01/01/2024";"1100";"24,1";"24,5";"22,9";"75,0";"87,0";"73,0";"19,3";"20,6";"19,2";"1011,7";"1011,7";"1011,3";"1,9";"89,0";"3,8";"846,90";"0,0"
"01/01/2024";"1200";"23,5";"24,1";"23,0";"77,0";"85,0";"75,0";"19,3";"20,4";"19,2";"1012,0";"1012,1";"1011,7";"1,6";"94,0";"3,8";"635,50";"0,0"
"01/01/2024";"1300";"24,9";"25,6";"23,4";"78,0";"79,0";"74,0";"20,7";"21,2";"19,0";"1012,1";"1012,2";"1011,8";"1,1";"117,0";"2,3";"952,50";"0,0"
"01/01/2024";"1400";"24,3";"24,8";"23,7";"80,0";"83,0";"77,0";"20,6";"20,8";"20,1";"1012,1";"1012,7";"1012,1";"1,4";"107,0";"2,6";"542,20";"0,0"
"01/01/2024";"1500";"24,5";"25,3";"24,3";"81,0";"81,0";"79,0";"21,0";"21,5";"20,5";"1011,6";"1012,3";"1011,6";"1,4";"101,0";"2,3";"942,60";"0,0"
"01/01/2024";"1600";"25,1";"26,0";"24,5";"81,0";"82,0";"76,0";"21,6";"21,6";"20,7";"1011,2";"1011,8";"1011,1";"1,9";"92,0";"3,9";"1490,70";"0,0"
"01/01/2024";"1700";"23,9";"25,5";"23,9";"85,0";"85,0";"79,0";"21,3";"22,1";"21,2";"1010,7";"1011,3";"1010,7";"0,8";"272,0";"3,6";"716,60";"0,0"
"01/01/2024";"1800";"23,8";"24,0";"23,7";"87,0";"87,0";"85,0";"21,4";"21,7";"21,2";"1010,2";"1010,7";"1010,2";"1,0";"47,0";"2,6";"206,00";"0,0"
"01/01/2024";"1900";"23,7";"24,2";"23,7";"88,0";"89,0";"86,0";"21,7";"22,0";"21,4";"1009,8";"1010,2";"1009,8";"1,8";"97,0";"3,4";"398,70";"0,0"
"01/01/2024";"2000";"23,2";"23,7";"23,2";"89,0";"89,0";"88,0";"21,3";"21,7";"21,2";"1009,4";"1009,8";"1009,4";"5,4";"95,0";"8,0";"225,80";"0,0"
"01/01/2024";"2100";"23,2";"23,2";"23,0";"89,0";"90,0";"89,0";"21,3";"21,4";"21,2";"1009,8";"1009,8";"1009,4";"5,2";"93,0";"8,8";"190,60";"0,0"
"01/01/2024";"2200";"22,9";"23,2";"22,9";"91,0";"91,0";"89,0";"21,3";"21,3";"20,9";"1010,1";"1010,1";"1009,8";"5,4";"92,0";"9,6";"38,40";"0,0"
"01/01/2024";"2300";"22,7";"22,9";"22,6";"94,0";"94,0";"91,0";"21,6";"21,6";"21,4";"1010,7";"1010,7";"1010,1";"2,3";"73,0";"7,7";"";"0,0"
"02/01/2024";"0000";"23,0";"23,3";"22,7";"88,0";"94,0";"87,0";"20,9";"21,6";"20,9";"1010,8";"1010,8";"1010,6";"1,5";"62,0";"4,2";"";"0,0"
"02/01/2024";"0100";"22,7";"23,0";"22,7";"91,0";"92,0";"88,0";"21,1";"21,4";"20,9";"1011,4";"1011,5";"1010,8";"1,6";"81,0";"3,4";"";"0,0"
"02/01/2024";"0200";"22,5";"22,8";"22,5";"92,0";"92,0";"90,0";"21,1";"21,3";"21,0";"1011,4";"1011,4";"1011,3";"2,0";"74,0";"5,4";"";"0,0"
"02/01/2024";"0300";"22,7";"22,7";"22,4";"92,0";"92,0";"92,0";"21,3";"21,3";"21,0";"1011,0";"1011,4";"1011,0";"2,2";"72,0";"4,1";"";"0,0"
"02/01/2024";"0400";"22,7";"22,8";"22,5";"91,0";"93,0";"91,0";"21,2";"21,4";"21,2";"1010,4";"1011,0";"1010,4";"2,1";"57,0";"4,1";"";"0,0"
"02/01/2024";"0500";"22,6";"22,7";"22,6";"91,0";"91,0";"91,0";"21,1";"21,2";"21,1";"1009,7";"1010,4";"1009,7";"1,6";"65,0";"3,9";"";"0,0"
"02/01/2024";"0600";"22,5";"22,7";"22,5";"90,0";"91,0";"90,0";"20,8";"21,1";"20,7";"1009,0";"1009,7";"1009,0";"0,9";"57,0";"3,3";"";"0,0"
"02/01/2024";"0700";"22,3";"22,6";"22,3";"91,0";"91,0";"90,0";"20,7";"21,1";"20,7";"1009,1";"1009,1";"1009,0";"1,2";"67,0";"2,0";"";"0,0"
"02/01/2024";"0800";"22,6";"22,7";"22,4";"87,0";"91,0";"87,0";"20,4";"21,0";"20,4";"1009,4";"1009,4";"1009,1";"2,0";"83,0";"4,7";"";"0,0"
"02/01/2024";"0900";"23,1";"23,2";"22,5";"78,0";"87,0";"77,0";"19,1";"20,4";"18,9";"1009,9";"1009,9";"1009,4";"0,9";"53,0";"5,0";"53,40";"0,0"
"02/01/2024";"1000";"22,8";"23,1";"22,6";"82,0";"83,0";"78,0";"19,5";"19,8";"19,0";"1009,9";"1010,1";"1009,9";"1,7";"53,0";"5,1";"257,50";"0,0"
"02/01/2024";"1100";"24,5";"24,6";"22,8";"80,0";"82,0";"76,0";"20,8";"20,8";"19,7";"1009,9";"1010,1";"1009,9";"3,0";"97,0";"4,6";"1406,50";"0,0"
"02/01/2024";"1200";"24,3";"28,0";"24,3";"78,0";"80,0";"68,0";"20,1";"22,3";"20,0";"1010,1";"1010,1";"1009,8";"2,5";"133,0";"4,4";"1703,00";"0,0"
"02/01/2024";"1300";"24,8";"25,4";"23,6";"78,0";"84,0";"77,0";"20,7";"21,9";"20,0";"1009,8";"1010,2";"1009,8";"1,0";"165,0";"3,5";"1355,70";"0,0"
"02/01/2024";"1400";"27,0";"27,2";"24,8";"74,0";"79,0";"72,0";"21,9";"22,1";"20,7";"1009,4";"1009,8";"1009,4";"1,4";"98,0";"3,5";"3242,00";"0,0"
"02/01/2024";"1500";"28,5";"30,1";"25,8";"70,0";"78,0";"65,0";"22,4";"23,5";"21,3";"1009,0";"1009,4";"1008,9";"2,4";"128,0";"4,1";"4185,70";"0,0"
"02/01/2024";"1600";"26,3";"28,5";"26,1";"78,0";"80,0";"69,0";"22,2";"23,1";"21,5";"1008,4";"1009,0";"1008,4";"1,6";"109,0";"3,5";"3044,30";"0,0"
"02/01/2024";"1700";"25,4";"27,1";"25,3";"82,0";"83,0";"77,0";"22,2";"23,0";"21,7";"1007,7";"1008,4";"1007,7";"4,0";"97,0";"5,9";"2580,00";"0,0"
"02/01/2024";"1800";"26,2";"26,7";"25,2";"81,0";"85,0";"80,0";"22,7";"23,2";"22,3";"1007,4";"1007,7";"1007,4";"2,4";"80,0";"5,8";"2511,70";"0,0"
"02/01/2024";"1900";"24,8";"26,2";"24,7";"88,0";"88,0";"81,0";"22,7";"23,2";"22,5";"1006,6";"1007,4";"1006,6";"4,9";"89,0";"7,0";"1455,30";"0,0"
"02/01/2024";"2000";"24,0";"24,9";"24,0";"92,0";"92,0";"88,0";"22,6";"22,8";"22,4";"1006,3";"1006,6";"1006,3";"5,4";"89,0";"8,7";"1108,10";"0,0"
"02/01/2024";"2100";"23,6";"24,0";"23,6";"94,0";"94,0";"92,0";"22,6";"22,8";"22,5";"1006,8";"1006,8";"1006,2";"3,4";"60,0";"7,9";"330,20";"0,0"
"02/01/2024";"2200";"23,5";"23,6";"23,4";"94,0";"94,0";"94,0";"22,5";"22,6";"22,4";"1007,7";"1007,7";"1006,8";"2,2";"59,0";"6,4";"17,10";"0,0"
"02/01/2024";"2300";"23,6";"23,7";"23,5";"93,0";"94,0";"92,0";"22,4";"22,5";"22,3";"1008,0";"1008,0";"1007,7";"7,6";"79,0";"10,3";"";"0,0"
"03/01/2024";"0000";"23,5";"23,6";"23,4";"94,0";"94,0";"93,0";"22,5";"22,6";"22,3";"1008,2";"1008,3";"1008,0";"6,4";"84,0";"10,3";"";"0,0"
"03/01/2024";"0100";"23,5";"23,5";"23,2";"92,0";"94,0";"92,0";"22,1";"22,5";"22,1";"1008,3";"1008,6";"1008,2";"2,0";"53,0";"9,1";"";"0,0"
"03/01/2024";"0200";"23,1";"23,8";"23,1";"93,0";"93,0";"90,0";"21,9";"22,2";"21,7";"1008,1";"1008,4";"1008,1";"1,6";"125,0";"5,3";"";"0,0"
"03/01/2024";"0300";"23,0";"23,1";"22,9";"95,0";"95,0";"93,0";"22,1";"22,1";"21,9";"1007,8";"1008,1";"1007,8";"1,5";"90,0";"2,5";"";"0,0"
"03/01/2024";"0400";"22,6";"23,0";"22,6";"97,0";"97,0";"95,0";"22,1";"22,3";"22,0";"1006,9";"1007,8";"1006,9";"1,6";"73,0";"2,7";"";"0,8"
"03/01/2024";"0500";"22,5";"22,8";"22,5";"98,0";"98,0";"97,0";"22,1";"22,4";"22,0";"1006,3";"1007,0";"1006,3";"1,7";"65,0";"2,8";"";"0,2"
"03/01/2024";"0600";"23,8";"23,9";"22,5";"94,0";"98,0";"94,0";"22,8";"22,9";"22,1";"1005,9";"1006,3";"1005,7";"1,0";"13,0";"4,6";"";"0,0"
"03/01/2024";"0700";"22,8";"24,1";"22,8";"95,0";"95,0";"93,0";"22,0";"23,1";"22,0";"1005,8";"1006,0";"1005,8";"1,1";"145,0";"3,7";"";"0,0"
"03/01/2024";"0800";"22,5";"22,8";"22,4";"98,0";"98,0";"95,0";"22,1";"22,3";"21,8";"1006,0";"1006,0";"1005,7";"1,6";"76,0";"2,6";"";"0,0"
"03/01/2024";"0900";"22,9";"22,9";"22,4";"99,0";"99,0";"98,0";"22,7";"22,7";"22,1";"1006,2";"1006,2";"1006,0";"0,7";"282,0";"2,8";"43,40";"0,0"
"03/01/2024";"1000";"23,2";"23,2";"22,7";"99,0";"99,0";"98,0";"23,0";"23,0";"22,4";"1006,8";"1006,8";"1006,2";"1,2";"59,0";"1,6";"271,60";"0,0"
"03/01/2024";"1100";"24,0";"24,2";"23,2";"94,0";"99,0";"94,0";"22,9";"23,5";"22,9";"1007,0";"1007,0";"1006,8";"1,2";"61,0";"2,4";"533,70";"0,0"
"03/01/2024";"1200";"24,3";"25,5";"23,8";"93,0";"95,0";"90,0";"23,0";"24,1";"22,7";"1007,0";"1007,0";"1006,8";"1,4";"77,0";"3,8";"1342,60";"0,0"
"03/01/2024";"1300";"24,6";"24,7";"23,7";"91,0";"94,0";"91,0";"23,1";"23,3";"22,4";"1006,9";"1007,1";"1006,8";"1,5";"72,0";"3,1";"1022,30";"0,0"
"03/01/2024";"1400";"25,6";"25,6";"24,3";"88,0";"92,0";"88,0";"23,4";"23,7";"22,7";"1006,5";"1007,0";"1006,5";"2,2";"83,0";"3,5";"1768,20";"0,0"
